title,2means_label,3means_label,4means_label,5means_label,6means_label,7means_label,8means_label,9means_label,10means_label
the_tomb,0,1,1,4,0,6,7,4,8
dagon,1,1,3,3,0,4,3,4,3
polaris,1,2,1,4,0,6,3,0,8
beyond_the_wall_of_sleep,0,1,3,4,0,6,3,4,1
memory,1,1,1,3,0,5,4,3,8
old_bugs,0,1,3,3,0,6,3,3,3
the_transition_of_juan_romero,0,1,1,4,2,6,3,4,5
the_white_ship,1,2,1,1,0,5,7,0,3
the_doom_that_came_to_sarnath,1,1,3,3,0,5,3,3,3
the_statement_of_randolph_carter,0,1,3,1,1,1,1,5,2
the_terrible_old_man,1,1,1,3,0,3,3,3,3
the_tree,1,1,2,3,3,6,3,3,4
the_cats_of_ulthar,1,1,1,1,1,6,1,2,3
the_temple,0,1,3,4,0,4,3,4,1
facts_concerning_the_late_arthur_jermyn_and_his_family,1,1,3,4,5,6,5,4,7
the_street,1,1,1,3,0,6,5,0,3
celephaïs,1,2,1,1,0,5,1,3,3
from_beyond,0,1,1,4,0,6,5,4,8
nyarlathotep,0,1,1,4,0,6,3,3,0
the_picture_in_the_house,0,1,1,3,0,6,2,4,3
ex_oblivione,1,2,1,4,0,1,7,4,8
the_nameless_city,0,1,3,4,0,6,3,4,1
the_quest_of_iranon,1,1,1,3,0,1,7,7,8
the_moon-bog,0,1,3,3,4,6,5,3,3
the_outsider,0,1,3,4,0,6,3,4,1
the_other_gods,1,1,1,1,0,5,1,6,8
the_music_of_erich_zann,0,1,1,3,0,6,3,3,8
herbert_west_—_reanimator,0,1,3,4,0,6,3,4,1
hypnos,0,1,3,4,0,5,3,4,1
what_the_moon_brings,1,1,1,3,0,6,7,3,3
azathoth,1,2,1,4,0,1,7,4,8
the_hound,0,1,1,4,0,6,5,3,8
the_lurking_fear,0,1,3,4,0,6,3,4,1
the_rats_in_the_walls,0,1,1,4,0,6,3,2,8
the_unnamable,0,1,1,3,0,6,5,3,3
the_festival,0,1,1,3,0,5,5,3,8
the_shunned_house,0,1,3,3,0,6,5,0,3
the_horror_at_red_hook,0,1,1,2,0,6,3,4,8
he,0,1,1,3,0,6,2,3,8
in_the_vault,0,1,1,3,0,6,6,4,6
the_descendant,0,1,3,4,0,6,3,3,1
cool_air,0,1,3,4,0,6,3,4,1
the_call_of_cthulhu,0,1,3,4,0,6,5,4,1
pickman's_model,0,1,1,3,0,6,3,3,8
the_silver_key,0,1,3,1,1,1,1,5,2
the_strange_high_house_in_the_mist,1,1,1,3,0,5,1,3,8
the_dream-quest_of_unknown_kadath,1,1,3,1,1,1,1,5,2
the_case_of_charles_dexter_ward,0,1,3,4,0,6,5,4,1
the_colour_out_of_space,1,1,3,3,0,0,3,4,3
the_very_old_folk,0,1,3,3,0,6,3,3,3
the_thing_in_the_moonlight,0,1,0,3,0,6,3,4,3
the_history_of_the_necronomicon,0,0,3,0,0,6,3,3,1
ibid,0,1,3,4,0,2,0,8,9
the_dunwich_horror,0,1,1,3,0,1,3,3,3
the_whisperer_in_darkness,0,1,3,4,0,6,3,4,1
at_the_mountains_of_madness,0,1,3,4,0,6,3,4,1
the_shadow_over_innsmouth,0,1,1,3,0,6,2,3,3
the_dreams_in_the_witch_house,0,1,3,3,0,6,3,4,3
the_thing_on_the_doorstep,0,1,3,3,0,6,3,4,3
the_evil_clergyman,0,1,1,3,0,6,3,3,8
the_book,0,1,3,4,0,6,3,4,1
the_shadow_out_of_time,0,1,3,4,0,6,3,4,1
the_haunter_of_the_dark,0,1,3,4,0,6,5,1,1
